				poi_id	poi_title
剑南路东段326号	越王楼	104.755999	31.469694	101001000087	越王楼
同安街道花海路8号	蔚然花海	104.305657	30.633666	101001000124	蔚然花海
喇叭河镇	二郎山喇叭河景区	102.446042	30.158599	101001000104	二郎山喇叭河风景区
张家湾街与鸿缘街交叉口东南120米	西岭雪山	107.717198	31.357440	101001000015	西岭雪山
雅拉乡王母村	康定情歌(木格措)风景区	101.872437	30.170233	101001000033	木格措
花水湾四季温泉谷	四川省成都市大邑县花水湾四季温泉谷	103.255418	30.553549	101001000102	中铁花水湾四季温泉谷
天府新区海洋路68号	成都海昌极地海洋公园	104.07376	30.494161	101001000012	成都海昌极地海洋公园
文殊院街66号文殊院内	文殊院-龟类放生处	104.071622	30.675462	101001000054	文殊院
丝管路3-4号附近	九眼桥码头旧址	104.087811	30.640639	101001000129	九眼桥
[]	华侨城·双旗美村	105.512504	32.210570	101001000122	双旗美村
芦花镇马桥	达古冰川风景名胜区	102.911009	32.131020	101001000042	达古冰川风景区
新马路与白塔路交叉口东北角	隆昌石牌坊群	105.291760	29.331311	101001000077	隆昌石牌坊群
黄龙溪镇黄金路70号	黄龙溪	103.970525	30.317805	101001000066	黄龙溪
安仁镇金桂街15号大邑刘氏庄园博物馆内	刘氏祖居	103.627723	30.505362	101001000039	刘氏庄园博物馆
泰迪熊博物馆	四川省成都市温江区泰迪熊博物馆	103.797820	30.637187	101001000079	中国泰迪熊博物馆
七曲山翠云廊路	七曲山风景区大庙景区	105.194514	31.69481	101001000083	七曲山大庙
永陵路10号	永陵公园	104.047296	30.674447	101001000174	成都永陵
小夫路附近	白鹿音乐小镇	103.916921	31.197348	101001000176	白鹿中法风情小镇
尖锋旱雪四季滑雪场(入口)	四川省成都市新都区尖锋旱雪四季滑雪场(入口)	104.100774	30.846936	101001000193	新都尖锋旱雪四季滑雪场
广德路中国观音故里广德风景区	广德寺	105.569073	30.492260	101001000182	广德寺风景区
玉沿路与金马河二号桥交叉口西南480米	融创乐园秘境漂流	103.623541	30.950287	101001000044	成都融创乐园	
黄龙风景区内	五彩池	103.834815	32.723116	101001000047	五彩池
四姑娘山镇350国道	四姑娘山景区	102.842166	31.085349	101001000043	四姑娘山
成都融创雪世界	四川省成都市都江堰市成都融创雪世界	103.619195	30.952006	101001000045	成都融创雪世界
凌云路2435号	乐山大佛	103.771968	29.544055	101001000006	乐山大佛
古湖街道环湖路	隆昌古宇湖景区	105.229658	29.335353	101001000076	古宇湖
				101001000112	梵高星空美术馆（春熙路旗舰店）
大渡口镇	纳溪花田酒地	105.256791	28.721707	101001000152	清溪谷旅游区?花田酒地景区
雅上路	上里古镇	103.076651	30.176972	101001000148	上里古镇
洪高路	柳江古镇	103.232271	29.71575	101001000139	柳江古镇
方特大道1号	绵阳方特东方神画	104.707175	31.729481	101001000009	绵阳方特东方神画
卧龙自然保护区耿达镇	卧龙中华大熊猫苑神树坪基地	103.320388	31.100849	101001000074	卧龙中华大熊猫苑神树坪基地
大观街道桃源村8组	青城外山	103.566867	30.846118	101001000056	青城后山
[]	九龙山麓棠山旅游区	104.065415	31.308429	101001000075	绵竹麓棠温泉
琴台路23号文化公园儿童游乐场	碰碰车	104.042513	30.659562	101001000095	望江楼公园
昭化镇昭化古城	清风轩	105.716594	32.334348	101001000081	昭化古城
二郎山路73号1栋1层附101	天廊Cosmo·福乐滑板公园	104.119799	30.628022	101001000153	富乐山
北街126号附近	松州古城	103.598276	32.637549	101001000168	松潘古城
迎晖路222号(塔子山公园地铁站D口步行280米)	塔子山公园	104.124023	30.6344	101001000196	塔子山公园
纱縠行南段72号	三苏祠	103.830863	30.040704	101001000130	三苏祠
旭阳镇大佛街大佛寺1号	荣县大佛	104.431207	29.453488	101001000179	荣县大佛
诺亚方舟	四川省遂宁市船山区诺亚方舟	105.573347	30.504423	101001000126	诺亚方舟(创业路店）
万科五龙山叠秀路1777号	音乐·百花谷	104.162699	30.765821	101001000142	音乐百花谷
桐凤路	知见植物园	104.065704	30.618405	101001000097	成都植物园
文化产业园区	浪漫地中海海洋之心	105.230684	30.625226	101001000186	浪漫地中海海洋之心
温泉镇	四川省成都市大邑县温泉镇	103.259473	30.566330	101001000155	蜀乐池天然温泉
大慈寺路21-23号(春熙路地铁站C口步行410米)	大慈寺	104.083779	30.654266	101001000108	大慈寺
女皇路与滨江路交叉口(近嘉陵江西岸乌龙山脚)	皇泽寺景区	105.811617	32.438308	101001000197	女皇温泉
南城街道国窖广场	泸州老窖旅游景区	105.4536	28.884362	101001000113	泸州老窖旅游区
瓦屋山镇金花桥	瓦屋山风景区	102.969421	29.668119	101001000050	瓦屋山风景区
万春镇天乡路88号国色天乡童话世界内	星际飞艇	103.828699	30.724339	101001000049	国色天乡童话世界
汤乐源温泉	四川省成都市武侯区汤乐源温泉	104.026770	30.609814	101001000171	汤乐源温泉体验馆
大康镇因明村九组匡山佛爷洞天洞地佛内	菩提树	104.699943	31.832917	101001000107	佛爷洞
洛带镇八角井街130号燃灯古寺内	洛带古镇-观音殿	104.330348	30.639660	101001000109	洛带古镇
芭沟古镇与马庙古街之间(近芭沟古镇古街嘉阳小火车)	芭马峡	103.819693	29.267303	101001000111	嘉阳小火车
武都镇团山村	绵阳市江油窦圌山风景区	104.813033	31.909389	101001000128	窦圌山景区
青华路9号(近杜甫草堂)浣花溪公园	浣花溪公园-免费借用雨伞点	104.028910	30.654507	101001000005	杜甫草堂
上街169号	九龙门川剧变脸曲艺表演	104.329199	30.636877	101001000053	盖碗儿·梨园茶馆（川剧变脸表演戏院）
蒙顶山镇	蒙顶山	103.04773	30.075855	101001000118	蒙顶山
太平街道双简路12号	紫颐香薰山谷景区	104.174772	30.436418	101001000106	紫颐香薰山谷
农博路1号	欢乐田园	103.983987	30.327461	101001000017	黄龙溪欢乐田园
塔公乡政府北侧	塔公草原	101.554935	30.329926	101001000156	塔公草原
鼓楼街28号	五粮液古窖池	104.629547	28.768093	101001000092	五粮液酒厂
幸福路龙池北侧	都江堰景区-海洋两栖动物馆	103.617017	30.998456	101001000002	都江堰景区
二台子中桥北方侧	折多山观雪台	101.80598	30.070901	101001000160	折多山
凤仪镇茂县八一中学北侧	中国古羌城	103.838836	31.674476	101001000180	中国古羌城
G108道翠云廊景区内	观云亭	105.541013	32.151047	101001000023	剑门关
富溪镇	松风寨童话世界森林公园	104.999458	29.670391	101001000149	童话森林乐园
黄湾镇	峨眉山	103.339423	29.547276	101001000003	峨眉山
成都麦鲁小城	四川省成都市金牛区成都麦鲁小城	104.033332	30.718351	101001000133	麦鲁小城
川主镇峨川路99号	只有峨眉山戏剧幻城	103.456534	29.597236	101001000143	《只有峨眉山》演艺
三星堆博物馆内	三星堆博物馆-青铜馆	104.217276	31.002041	101001000021	三星堆博物馆
和平东路103号凌云山景区三清殿内	凌云山-崖墓	106.217257	30.753209	101001000187	凌云山风景区
磨西镇	海螺沟冰川森林公园	102.005454	29.578946	101001000030	海螺沟
琴台路205号(通惠门地铁站E口步行100米)	琴台故径	104.047035	30.662426	101001000192	琴台故径
